PlayerID,TrialID,GameMode,IsHit,DisplayScore,TrueScore,TrueScoreMessagePopupTime,TrueScoreResponseTime,EstScore,EstScoreMessagePopupTime,EstScoreResponseTime,EstScoreConfidence,EstScoreConfidenceMessagePopupTime,EstScoreConfidenceResponseTime,TrueRule,TrueRuleMessagePopupTime,TrueRuleResponseTime,EstRule,EstRuleMessagePopupTime,EstRuleResponseTime,EstRuleConfidence,EstRuleConfidenceMessagePopupTime,EstRuleConfidenceResponseTime,MoleEndTime,MoleAppearTime,MoleDissapearTime,MoleCenter.x,MoleCenter.y,HitReactionTime,EstRuleAccuracy,PredictionError,DisplayScoreError,AbsPredictionError,AbsDisplayScoreError,LocX,LocY,Distance,Correct,scorePredictionRT,ruleEstimationRT
6,63,scoreEst,TRUE,56,56,NA,NA,87,07/09/2022 09:50:56.5240,07/09/2022 09:51:00.7147,3,07/09/2022 09:51:00.7147,07/09/2022 09:51:01.6611,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:01.9918,07/09/2022 09:50:55.8924,07/09/2022 09:51:01.7754,660.2000732421875,422.6000061035156,631.6,FALSE,31,0,31,0,13.7999267578125,-8.600006103515625,16.260322367699093,FALSE,4190.700000000001,NA
6,64,scoreEst,TRUE,53,53,NA,NA,31,07/09/2022 09:51:02.6240,07/09/2022 09:51:07.4632,3,07/09/2022 09:51:07.4632,07/09/2022 09:51:09.7230,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:10.0527,07/09/2022 09:51:02.0095,07/09/2022 09:51:09.8368,1201.5,554.5999755859375,614.5,FALSE,-22,0,22,0,-14.5,-9.5999755859375,17.389926142758515,FALSE,4839.2,NA
6,65,scoreEst,TRUE,55,55,NA,NA,68,07/09/2022 09:51:10.8023,07/09/2022 09:51:15.4244,3,07/09/2022 09:51:15.4244,07/09/2022 09:51:16.3717,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:16.7012,07/09/2022 09:51:10.0702,07/09/2022 09:51:16.4857,640.300048828125,744.29998779296875,732.1,FALSE,13,0,13,0,13.699951171875,-9.29998779296875,16.55833430817022,FALSE,4622.1,NA
6,66,scoreEst,TRUE,79,79,NA,NA,71,07/09/2022 09:51:17.3674,07/09/2022 09:51:21.9056,2,07/09/2022 09:51:21.9056,07/09/2022 09:51:23.4024,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:23.7154,07/09/2022 09:51:16.7186,07/09/2022 09:51:23.4998,1180.5,420.2999877929688,648.8,FALSE,-8,0,8,0,5.5,-5.299987792968807,7.638054111199944,FALSE,4538.200000000001,NA
6,67,scoreEst,TRUE,58,58,NA,NA,71,07/09/2022 09:51:24.4155,07/09/2022 09:51:31.3475,3,07/09/2022 09:51:31.3475,07/09/2022 09:51:32.2779,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:32.6088,07/09/2022 09:51:23.7324,07/09/2022 09:51:32.3927,1180.5,420.2999877929688,683.1,FALSE,13,0,13,0,2.5,-15.299987792968809,15.502890906698482,FALSE,6932,NA
6,68,scoreEst,TRUE,75,75,NA,NA,77,07/09/2022 09:51:33.2402,07/09/2022 09:51:41.0542,3,07/09/2022 09:51:41.0542,07/09/2022 09:51:41.7858,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:42.1159,07/09/2022 09:51:32.6255,07/09/2022 09:51:41.9001,1011,669.300048828125,613.9,FALSE,2,0,2,0,4,-8.300048828125,9.21362092498162,FALSE,7814,NA
6,69,scoreEst,TRUE,53,53,NA,NA,90,07/09/2022 09:51:42.7322,07/09/2022 09:51:45.0262,3,07/09/2022 09:51:45.0262,07/09/2022 09:51:46.3732,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:46.7036,07/09/2022 09:51:42.1328,07/09/2022 09:51:46.4876,727,616.29998779296875,598.4,FALSE,37,0,37,0,8,-15.29998779296875,17.265272267328793,FALSE,2294,NA
6,70,scoreEst,TRUE,68,68,NA,NA,58,07/09/2022 09:51:47.4017,07/09/2022 09:51:50.6612,2,07/09/2022 09:51:50.6612,07/09/2022 09:51:51.9908,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:52.3216,07/09/2022 09:51:46.7195,07/09/2022 09:51:52.1055,727,616.29998779296875,682.2,FALSE,-10,0,10,0,11,-4.29998779296875,11.810584025342704,FALSE,3259.5,NA
6,71,scoreEst,TRUE,55,55,NA,NA,75,07/09/2022 09:51:53.0538,07/09/2022 09:51:57.0437,3,07/09/2022 09:51:57.0437,07/09/2022 09:51:58.3561,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:51:58.6876,07/09/2022 09:51:52.3382,07/09/2022 09:51:58.4707,1180.5,420.2999877929688,715.6,FALSE,20,0,20,0,0.5,-16.299987792968807,16.307654707251196,FALSE,3989.900000000001,NA
6,72,scoreEst,TRUE,61,61,NA,NA,57,07/09/2022 09:51:59.3690,07/09/2022 09:52:04.2737,3,07/09/2022 09:52:04.2737,07/09/2022 09:52:05.1054,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:05.4352,07/09/2022 09:51:58.7042,07/09/2022 09:52:05.2192,1201.5,554.5999755859375,663.8,FALSE,-4,0,4,0,6.5,-12.5999755859375,14.17777785008007,FALSE,4904.7,NA
6,73,scoreEst,TRUE,36,36,NA,NA,69,07/09/2022 09:52:06.0679,07/09/2022 09:52:09.6263,3,07/09/2022 09:52:09.6263,07/09/2022 09:52:10.4410,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:10.7704,07/09/2022 09:52:05.4514,07/09/2022 09:52:10.5550,948,309,615.5,FALSE,33,0,33,0,17,-16,23.345235059857504,FALSE,3558.4,NA
6,74,scoreEst,TRUE,45,45,NA,NA,46,07/09/2022 09:52:12.5665,07/09/2022 09:52:17.2055,3,07/09/2022 09:52:17.2055,07/09/2022 09:52:18.3193,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:18.6496,07/09/2022 09:52:11.8682,07/09/2022 09:52:18.4322,948,309,698.3,FALSE,1,0,1,0,3,-20,20.223748416156685,FALSE,4639,NA
6,75,scoreEst,TRUE,76,76,NA,NA,69,07/09/2022 09:52:19.2154,07/09/2022 09:52:23.1055,3,07/09/2022 09:52:23.1055,07/09/2022 09:52:24.9011,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:25.2307,07/09/2022 09:52:18.6653,07/09/2022 09:52:25.0154,1201.5,554.5999755859375,550.1,FALSE,-7,0,7,0,4.5,-7.5999755859375,8.832305979009448,FALSE,3890.1,NA
6,76,scoreEst,TRUE,77,77,NA,NA,41,07/09/2022 09:52:25.7804,07/09/2022 09:52:31.2676,3,07/09/2022 09:52:31.2676,07/09/2022 09:52:32.7797,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:33.1102,07/09/2022 09:52:25.2483,07/09/2022 09:52:32.8938,1180.5,420.2999877929688,531.1,FALSE,-36,0,36,0,-8.5,-0.29998779296880684,8.505292039426411,FALSE,5487.200000000001,NA
6,77,scoreEst,TRUE,52,52,NA,NA,63,07/09/2022 09:52:33.7263,07/09/2022 09:52:39.2789,2,07/09/2022 09:52:39.2789,07/09/2022 09:52:40.6244,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:40.9544,07/09/2022 09:52:33.1268,07/09/2022 09:52:40.7392,1201.5,554.5999755859375,598.5,FALSE,11,0,11,0,15.5,-8.5999755859375,17.725957804268887,FALSE,5552.6,NA
6,78,scoreEst,TRUE,66,66,NA,NA,87,07/09/2022 09:52:41.5548,07/09/2022 09:52:45.8770,3,07/09/2022 09:52:45.8770,07/09/2022 09:52:47.0568,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:47.3870,07/09/2022 09:52:40.9710,07/09/2022 09:52:47.1718,922,492.3000183105469,583.8,FALSE,21,0,21,0,-2,-12.300018310546877,12.461558908892114,FALSE,4322.200000000001,NA
6,79,scoreEst,TRUE,52,52,NA,NA,84,07/09/2022 09:52:48.0195,07/09/2022 09:52:53.7212,3,07/09/2022 09:52:53.7212,07/09/2022 09:52:54.5860,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:52:54.9163,07/09/2022 09:52:47.4040,07/09/2022 09:52:54.7005,922,492.3000183105469,615.5,FALSE,32,0,32,0,15,-9.300018310546877,17.649088944659642,FALSE,5701.700000000001,NA
6,80,scoreEst,TRUE,45,45,NA,NA,84,07/09/2022 09:52:55.5323,07/09/2022 09:52:59.9718,3,07/09/2022 09:52:59.9718,07/09/2022 09:53:00.9026,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:53:01.2326,07/09/2022 09:52:54.9335,07/09/2022 09:53:01.0163,727,616.29998779296875,598.8,FALSE,39,0,39,0,14,-14.29998779296875,20.012237528049063,FALSE,4439.500000000001,NA
6,81,scoreEst,TRUE,64,64,NA,NA,96,07/09/2022 09:53:01.7829,07/09/2022 09:53:06.1721,3,07/09/2022 09:53:06.1721,07/09/2022 09:53:07.7681,skill,NA,NA,NA,NA,NA,NA,NA,NA,07/09/2022 09:53:08.0972,07/09/2022 09:53:01.2500,07/09/2022 09:53:07.8819,1011,669.300048828125,532.9,FALSE,32,0,32,0,5,-12.300048828125,13.277469682671438,FALSE,4389.200000000001,NA
